Lesson,Topic,OpenStax,Pearson
1,Course Introduction,Syllabus,Syllabus
2,Trig Review; Vectors: Addition,"Appendix E, <a href='https://openstax.org/books/university-physics-volume-1/pages/2-introduction' target='_blank'> Ch 2.1 </a>","Appendix A-2, Ch 3.1-3.2"
3,Vectors: Components,<a href='https://openstax.org/books/university-physics-volume-1/pages/2-introduction' target='_blank'> Ch 2.2 </a>,"Ch 3.2-3.4, 1.3"
4,Introduction to Forces,"<a href='https://openstax.org/books/university-physics-volume-1/pages/2-introduction' target='_blank'> Ch 2.3, 5.1 </a>",Ch 5.1-5.3
5,"Newton's 1st Law: Inertia, Free-Body Diagrams","<a href='https://openstax.org/books/university-physics-volume-1/pages/5-introduction' target='_blank'> Ch 5.2, 5.6-5.7 </a>","Ch 5.6-5.7, 6.1"
6,Newton's 1st Law: (Translational) Equilibrium,"<a href='https://openstax.org/books/university-physics-volume-1/pages/5-introduction' target='_blank'> Ch 5.2, 5.7, 6.1 </a>","Ch 5.7, 6.1"
7,"Motion, Kinematic Variables",<a href='https://openstax.org/books/university-physics-volume-1/pages/3-introduction' target='_blank'> Ch 3.1-3.3 </a>,Ch 1.1-1.6
8,"Instantaneous Values, Constant Acceleration",<a href='https://openstax.org/books/university-physics-volume-1/pages/3-introduction' target='_blank'> Ch 3.3-3.4 </a>,Ch 2.1-2.4
9,Units and Dimensional Analysis,<a href='https://openstax.org/books/university-physics-volume-1/pages/1-introduction' target='_blank'> Ch 1.2-1.4 </a>,Ch 1.8
10,Constant Acceleration: Free-Fall,<a href='https://openstax.org/books/university-physics-volume-1/pages/3-introduction' target='_blank'> Ch 3.5 </a>,Ch 2.5-2.7
11,Newton's 2nd Law,"<a href='https://openstax.org/books/university-physics-volume-1/pages/5-introduction' target='_blank'> Ch 5.3, 6.1 </a>","Ch 5.4, 5.5, 6.2"
12,"Dynamics: Mass, Weight, Weightlessness","<a href='https://openstax.org/books/university-physics-volume-1/pages/5-introduction' target='_blank'> Ch 5.4, 6.1 </a>",Ch 6.3
13,"Newton's 3rd Law: Interactions, Action/Reaction",<a href='https://openstax.org/books/university-physics-volume-1/pages/5-introduction' target='_blank'> Ch 5.5 </a>,Ch 7.1-7.3
14,Newton's 2nd & 3rd Laws: Defining Your System,"<a href='https://openstax.org/books/university-physics-volume-1/pages/6-introduction' target='_blank'> Ch 6.1, 5.7 </a>","Ch 7.4-7.5, 6.6"
15,Dynamics: Friction,"<a href='https://openstax.org/books/university-physics-volume-1/pages/6-introduction' target='_blank'> Ch 6.2 </a>",Ch 6.4-6.5
16,Motion in 2D: Projectiles,<a href='https://openstax.org/books/university-physics-volume-1/pages/4-introduction' target='_blank'> Ch 4.1-4.3 </a>,Ch 4.1-4.2
17,Motion in 2D: Projectiles,<a href='https://openstax.org/books/university-physics-volume-1/pages/4-introduction' target='_blank'> Ch 4.3 </a>,Ch 4.1-4.2
18,Motion in 2D: Circular Motion (Relative Mot. Optional),<a href='https://openstax.org/books/university-physics-volume-1/pages/4-introduction' target='_blank'> Ch 4.4 (4.5) </a>,Ch 4.3-4.5
19,"Dynamics: Circular Motion, UCM, Misc. Problems",<a href='https://openstax.org/books/university-physics-volume-1/pages/6-introduction' target='_blank'> Ch 6.3 </a>,Ch 8.1-8.4
20,"Vector (Cross) Product, Torque","<a href='https://openstax.org/books/university-physics-volume-1/pages/2-introduction' target='_blank'> Ch 2.4, 10.6 </a>","Ch 12.10, 12.5"
21,"Torque, Rotational Equilibrium, Center of Mass","<a href='https://openstax.org/books/university-physics-volume-1/pages/10-introduction' target='_blank'> Ch 10.6, 9.6 </a>","Ch 12.2, 12.5"
22,Static Equilibrium,<a href='https://openstax.org/books/university-physics-volume-1/pages/12-introduction' target='_blank'> Ch 12.1-12.2 </a>,Ch 12.8
23,Static Equilibrium,<a href='https://openstax.org/books/university-physics-volume-1/pages/12-introduction' target='_blank'> Ch 12.1-12.2 </a>,Ch 12.8
24,Rotations and Angular Kinematics,<a href='https://openstax.org/books/university-physics-volume-1/pages/10-introduction' target='_blank'> Ch 10.1-10.3 </a>,"Ch 4.5-4.6, 12.1"
25,Angular Kinematics and Rotational Dynamics,<a href='https://openstax.org/books/university-physics-volume-1/pages/10-introduction' target='_blank'> Ch 10.4-10.7 </a>,Ch 12.4-12.7
26,Rotational Dynamics,<a href='https://openstax.org/books/university-physics-volume-1/pages/10-introduction' target='_blank'> Ch 10.7 </a>,Ch 12.4-12.7
