Lesson,Date,Topic,Reading,Homework Due
1,05-Mar,"<a href='lessons/L01'> Course Introduction </a>",Syllabus,Intro MP 
2,07-Mar,"<a href='lessons/L02'> Trig Review; Vectors: Addition </a>","Appendix A-2, Ch 3.1-3.2",Primer 
3,10-Mar,"<a href='lessons/L03'> Vectors: Components </a>","Ch 3.2-3.4, 1.3",HW #03 
4,12-Mar,"<a href='lessons/L04'> Introduction to Forces </a>",Ch 5.1-5.3,HW #04 
5,14-Mar,"<a href='lessons/L05'> Newton's 1st Law: Inertia, Free-Body Diagrams </a>","Ch 5.6-5.7, 6.1",HW #05 
6,17-Mar,"<a href='lessons/L06'> Newton's 1st Law: (Translational) Equilibrium </a>","Ch 5.7, 6.1",HW #06 
7,19-Mar,"<a href='lessons/L07'> Motion, Kinematic Variables </a>",Ch 1.1-1.6,HW #07 
8,21-Mar,"<a href='lessons/L08'> Instantaneous Values, Constant Acceleration </a>",Ch 2.1-2.4,HW #08 
9,24-Mar,"<a href='lessons/L09'> Units and Dimensional Analysis </a>",Ch 1.8,HW #09 
10,26-Mar,"<a href='lessons/L10'> Constant Acceleration: Free-Fall </a>",Ch 2.5-2.7,HW #10 
11,28-Mar,"<a href='lessons/L11'> Newton's 2nd Law </a>","Ch 5.4, 5.5, 6.2",HW #11 
12,31-Mar,"<a href='lessons/L12'> Dynamics: Mass, Weight, Weightlessness </a>",Ch 6.3,HW #12 
E1,02-Apr,"<a href='resources/E01'> Exam #1: Chapters 5, 6.1, 6.2, 1-3 </a>",,
13,04-Apr,"<a href='lessons/L13'> Newton's 3rd Law: Interactions, Action/Reaction </a>",Ch 7.1-7.3,HW #13 
14,07-Apr,"<a href='lessons/L14'> Newton's 2nd & 3rd Laws: Defining Your System </a>","Ch 7.4-7.5, 6.6",HW #14 
15,09-Apr,"<a href='lessons/L15'> Dynamics: Friction </a>",Ch 6.4-6.5,HW #15 
16,11-Apr,"<a href='lessons/L16'> Motion in 2D: Projectiles </a>",Ch 4.1-4.2,HW #16 
17,14-Apr,"<a href='lessons/L17'> Motion in 2D: Projectiles </a>",Ch 4.1-4.2,HW #17 
18,16-Apr,"<a href='lessons/L18'> Motion in 2D: Circular Motion (Relative Mot. Optional) </a>",Ch 4.3-4.5,HW #18 
19,23-Apr,"<a href='lessons/L19'> Dynamics: Circular Motion, UCM, Misc. Problems </a>",Ch 8.1-8.4,HW #19 
20,25-Apr,"<a href='lessons/L20'> Vector (Cross) Product, Torque </a>","Ch 12.10, 12.5",HW #20 
E2,28-Apr,"<a href='resources/E02'> Exam #2: Chapters 4, 6-8 </a>",,
21,30-Apr,"<a href='lessons/L21'> Torque, Rotational Equilibrium, Center of Mass </a>","Ch 12.2, 12.5",HW #21 
22,02-May,"<a href='lessons/L22'> Static Equilibrium </a>",Ch 12.8,HW #22 
23,05-May,"<a href='lessons/L23'> Static Equilibrium </a>",Ch 12.8,HW #23 
24,07-May,"<a href='lessons/L24'> Rotations and Angular Kinematics </a>","Ch 4.5-4.6, 12.1",HW #24 
25,09-May,"<a href='lessons/L25'> Angular Kinematics and Rotational Dynamics </a>",Ch 12.4-12.7,HW #25 
26,12-May,"<a href='lessons/L26'> Rotational Dynamics </a>",Ch 12.4-12.7,HW #26 
27,14-May,"<a href='lessons/L27'> Intro to Work and Energy, Dot Product </a>",Ch 9.2-9.3,HW #27 
E3,16-May,"<a href='resources/E03'> Exam #3: Chapters 12, 4.5-4.6 </a>",,
28,19-May,"<a href='lessons/L28'> Work-Kinetic Energy Theorem </a>",Ch 9.1-9.5,HW #28 
29,21-May,"<a href='lessons/L29'> Potential Energy, Gravitational Potential Energy </a>",Ch 10.1-10.3,HW #29 
30,23-May,"<a href='lessons/L30'> Conservation of Energy </a>",Ch 10.4-10.7,HW #30 
31,27-May,"<a href='lessons/L31'> Impulse and Momentum </a>",Ch 11.1-11.2,HW #31
32,28-May,"<a href='lessons/L32'> Conservation of Momentum, Collisions </a>",Ch 11.2-11.5,HW #32 
33,30-May,"<a href='lessons/L33'> Misc. Problems with Energy, Momentum </a>",Ch 12.11,HW #33 
34,02-Jun,"<a href='lessons/L34'> Angular Momentum </a>",Ch 9-11,HW #34 
35,04-Jun,"<a href='lessons/L35'> Power, Last iclicker Problem </a>",Ch 9-11,HW #35 
E4,06-Jun,"<a href='resources/E04'> Exam #4, Chapters 9-11 </a>",,HW #36
36,09-Jun,"<a href='lessons/L36'> Review </a>",,
,,"",,
--,,"<a href='resources/AT01'> Advanced Topics: Equilibrium in 3D </a>",,
